,ID,Title,Abstract
0,35452961,Magnetic resonance imaging criteria at onset to differentiate pediatric multiple sclerosis from acute disseminated encephalomyelitis: A nationwide cohort study.,"MRI of the nervous system is the critical in distinguishing pediatric MS from acute disseminated encephalomyelitis (ADEM). Our aim was to propose MRI criteria to distinguish MS from monophasic ADEM based on the first MRI and to validate previously proposed MRI criteria.A neuroradiologist undertook retrospective evaluation of the MRI at the first demyelinating event in children (<18 years) with medical record-validated MS and ADEM in Denmark during 2008-15. We used forward stepwise logistic regression to identify MRI categories that differed significantly between MS and ADEM. We estimated accuracy statistics for all MRI criteria to distinguish MS from ADEM.The monophasic ADEM cohort (n=46) was nationwide and population-based during 2008-15; the median age at onset of 5.3 years (range 0.8‒17.2) and children had at least five years of follow-up to ensure a monophasic disease course. Children with MS (n=67) had a median age at onset of 16.3 years (range 3.3‒17.9). Having at least two categories best distinguished MS from monophasic ADEM by an area under the curve of 83% to 89%: (a) corpus callosum long axis perpendicular lesion; (b) only well-defined lesions; (c) absence of basal ganglia or thalamus lesion OR, (a) corpus callosum long axis perpendicular lesion; (b) only well-defined lesions; (c) absence of diffuse large lesions; (d) black holes. The Callen, KIDMUS, and IPMSSG criteria performed well. The McDonald 2017, Barkhof, MAGNIMS, and Verhey criteria had poorer performance.This study provides Class II evidence that MRI has good performance in differentiating MS from monophasic ADEM at onset."
1,35422470,Mouse models of immune dysfunction: their neuroanatomical differences reflect their anxiety-behavioural phenotype.,"Extensive evidence supports the role of the immune system in modulating brain function and behaviour. However, past studies have revealed striking heterogeneity in behavioural phenotypes produced from immune system dysfunction. Using magnetic resonance imaging, we studied the neuroanatomical differences among 11 distinct genetically modified mouse lines (n = 371), each deficient in a different element of the immune system. We found a significant and heterogeneous effect of immune dysfunction on the brains of both male and female mice. However, by imaging the whole brain and using Bayesian hierarchical modelling, we were able to identify patterns within the heterogeneous phenotype. Certain structures-such as the corpus callosum, midbrain, and thalamus-were more likely to be affected by immune dysfunction. A notable brain-behaviour relationship was identified with neuroanatomy endophenotypes across mouse models clustering according to anxiety-like behaviour phenotypes reported in literature, such as altered volume in brains regions associated with promoting fear response (e.g., the lateral septum and cerebellum). Interestingly, genes with preferential spatial expression in the most commonly affected regions are also associated with multiple sclerosis and other immune-mediated diseases. In total, our data suggest that the immune system modulates anxiety behaviour through well-established brain networks."
2,35406658,Development of a Chemical Cocktail That Rescues Mouse Brain Demyelination in a Cuprizone-Induced Model.,"Oligodendrocytes are glial cells located in the central nervous system (CNS) that play essential roles in the transmission of nerve signals and in the neuroprotection of myelinated neurons. The dysfunction or loss of oligodendrocytes leads to demyelinating diseases such as multiple sclerosis (MS). To treat demyelinating diseases, the development of a therapy that promotes remyelination is required. In the present study, we established an in vitro method to convert human fibroblasts into induced oligodendrocyte-like cells (iOLCs) in 3 days. The induced cells displayed morphologies and molecular signatures similar to oligodendrocytes after treatment with valproic acid and exposure to the small molecules Y27632, SU9516, and forskolin (FSK). To pursue the development of a cell-free remyelination therapy in vivo, we used a cuprizone-induced demyelinated mouse model. The small molecules (Y27632, SU9516, and FSK) were directly injected into the demyelinated corpus callosum of the mouse brain. This combination of small molecules rescued the demyelination phenotype within two weeks as observed by light and electron microscopy. These results provide a foundation for exploring the development of a treatment for demyelinating diseases via regenerative medicine."
3,35398999,Brain atrophy patterns in multiple sclerosis patients treated with natalizumab and its clinical correlates.,"Multiple sclerosis (MS) is defined as a demyelinating disorder of the central nervous system, witnessing over the past years a remarkable progress in the therapeutic approaches of the inflammatory process. Yet, the ongoing neurodegenerative process is still ambiguous, under-assessed, and probably under-treated. Atrophy and cognitive dysfunction represent the radiological and clinical correlates of such process. In this study, we evaluated the effect of one specific MS treatment, which is natalizumab (NTZ), on brain atrophy evolution in different anatomical regions and its correlation with the cognitive profile and the physical disability.We recruited 20 patients diagnosed with relapsing-remitting MS (RR-MS) and treated with NTZ. We tracked brain atrophy in different anatomical structures using MRI scans processed with an automated image segmentation technique. We also assessed the progression of physical disability and the cognitive function and its link with the progression of atrophy.During the first 2 years of treatment, a significant volume loss was noted within the corpus callosum and the cerebellum gray matter (GM). The annual atrophy rate of the cortical GM, the cerebellum GM, the thalamus, the amygdala, the globus pallidus, and the hippocampus correlated with greater memory impairment. As for the third and fourth years of treatment, a significant atrophy revolved around the gray matter, mainly the cortical one. We also noted an increase of the thalamus volume.Atrophy in RR-MS patients treated with NTZ is regional and targeting highly cognitive regions mainly of the subcortical gray matter and the cerebellum. The cerebellum atrophy was a marker of physical disability progression. NTZ did not accelerate the atrophy process in MS and may play a neuroprotective role by increasing the thalamus volume."
4,35397753,Advanced diffusion-weighted imaging models better characterize white matter neurodegeneration and clinical outcomes in multiple sclerosis.,"White matter (WM) atrophy is relevant in multiple sclerosis (MS), but the methods of analysis currently used are not specific for microstructural changes. The aims of this study were to assess the use of advanced diffusion-weighted imaging (DWI) techniques proposed as measures of baseline and longitudinal WM atrophy in MS and to analyze whether these measures helped explain MS clinical disability (including cognitive impairment) better than volumetric and diffusion tensor (DT)-derived measures.3DT1-weighted and DWI sequences were applied to 86 MS and 55 healthy controls (HC) at baseline and after one-year. Intra-cellular volume (v) maps were computed from neurite orientation dispersion and density imaging model. Voxel-wise fiber-bundle cross-section (FCS) atrophy in MS compared to HC was estimated. Maps of fractional anisotropy and mean diffusivity were also obtained from DWI for a comparison with the proposed advanced DW-derived measures (v and FCS).Both at baseline and after 1-year, only FCS measure showed a significant atrophy in relapsing-remitting (RR) MS compared to HC and in progressive MS compared to RRMS, mainly located in specific WM tracts (corticospinal tract, splenium of the corpus callosum, left optic radiation, bilateral cingulum, middle cerebellar peduncle and anterior commissure, p value < 0.05). Global baseline FCS and v were the selected predictors of clinical (R-sq = 0.33, p = 0.007) and cognitive scores (R-sq = 0.29, p = 0.0014) in a linear regression model.Voxel-based FCS was able to detect WM tracts atrophy in MS clinical phenotypes with greater anatomical specificity compared to other measures (volumetric and DT-derived measures of WM damage). FCS and v measured at baseline in the WM were the best predictors of clinical disability and cognitive impairment."
5,35380252,Astroglial and oligodendroglial markers in the cuprizone animal model for de- and remyelination.,"Myelin loss with consecutive axon degeneration and impaired remyelination are the underlying causes of progressive disease in patients with multiple sclerosis. Astrocytes are suggested to play a major role in these processes. The unmasking of distinct astrocyte identities in health and disease would help to understand the pathophysiological mechanisms in which astrocytes are involved. However, the number of specific astrocyte markers is limited. Therefore, we performed immunohistochemical studies and analyzed various markers including GFAP, vimentin, S100B, ALDH1L1, and LCN2 during de- and remyelination using the toxic murine cuprizone animal model. Applying this animal model, we were able to confirm overlapping expression of vimentin and GFAP and highlighted the potential of ALDH1L1 as a pan-astrocytic marker, in agreement with previous data. Only a small population of GFAP-positive astrocytes in the corpus callosum highly up-regulated LCN2 at the peak of demyelination and S100B expression was found in a subset of oligodendroglia as well, thus S100B turned out to have a limited use as a particular astroglial marker. Additionally, numerous GFAP-positive astrocytes in the lateral corpus callosum did not express S100B, further strengthening findings of heterogeneity in the astrocytic population. In conclusion, our results acknowledged that GFAP, vimentin, LCN2, and ALDH1L1 serve as reliable marker to identify activated astrocytes during cuprizone-induced de- and remyelination. Moreover, there were clear regional and temporal differences in protein and mRNA expression levels and patterns of the studied markers, generally between gray and white matter structures."
6,35372341,Clemastine Induces an Impairment in Developmental Myelination.,"Abnormalities in myelination are associated to behavioral and cognitive dysfunction in neurodevelopmental psychiatric disorders. Thus, therapies to promote or accelerate myelination could potentially ameliorate symptoms in autism. Clemastine, a histamine H1 antagonist with anticholinergic properties against muscarinic M1 receptor, is the most promising drug with promyelinating properties. Clemastine penetrates the blood brain barrier efficiently and promotes remyelination in different animal models of neurodegeneration including multiple sclerosis, ischemia and Alzheimer's disease. However, its role in myelination during development is unknown. We showed that clemastine treatment during development increased oligodendrocyte differentiation in both white and gray matter. However, despite the increase in the number of oligodendrocytes, conduction velocity of myelinated fibers of  decreased in clemastine treated mice. Confocal and electron microscopy showed a reduction in the number of myelinated axons and nodes of Ranvier and a reduction of myelin thickness in . To understand the mechanisms leading to myelin formation impairment in the presence of an excess of myelinating oligodendrocytes, we focused on microglial cells that also express muscarinic M1 receptors. Importantly, the population of CD11c microglia cells, necessary for myelination, as well as the levels of insulin growth factor-1 decrease in clemastine-treated mice. Altogether, these data suggest that clemastine impact on myelin development is more complex than previously thought and could be dependent on microglia-oligodendrocyte crosstalk. Further studies are needed to clarify the role of microglia cells on developmental myelination."
7,35362723,Phenytoin promotes the proliferation of oligodendrocytes and enhances the expression of myelin basic protein in the corpus callosum of mice demyelinated by cuprizone.,"Oligodendrocyte loss and myelin sheet destruction are crucial characteristics of demyelinating diseases. Phenytoin promotes the proliferation of endogenous neural precursor cells in the ventricular-subventricular zone in the postnatal brain that help restore the oligodendroglial population. This study aimed to evaluate whether phenytoin promotes myelin recovery of the corpus callosum of demyelinated adult mice. CD1 male mice were exposed to a demyelinating agent (0.2% cuprizone) for 8 weeks. We assembled two groups: the phenytoin-treated group and the control-vehicle group. The treated group received oral phenytoin (10 mg/kg) for 4 weeks. We quantified the number of Olig2 + and NG2 + oligodendrocyte precursor cells (OPCs), Rip + oligodendrocytes, the expression level of myelin basic protein (MBP), and the muscle strength and motor coordination. The oligodendroglial lineage (Olig2 + cells, NG2 + cells, and RIP + cells) significantly increases by the phenytoin administration when compared to the control-vehicle group. The phenytoin-treated group also showed an increased expression of MBP in the corpus callosum and better functional scores in the horizontal bar test. These findings suggest that phenytoin stimulates the proliferation of OPCs, re-establishes the oligodendroglial population, promotes myelin recovery in the corpus callosum, and improves motor coordination and muscle strength."
8,35326340,An Equivocal SCC Lesion-Antiepileptic-Induced CLOCC.,"We present a case of a woman who reported to the emergency unit due to recurrent episodes of severe headache and collapse. MRI examination revealed no relevant findings apart from small meningioma of the right parietal region. The patient was diagnosed with epilepsy and received outpatient treatment, which was changed due to poor toleration. A follow-up MRI was performed which revealed an isolated, focal lesion of the splenium of the corpus callosum. The patient underwent extensive laboratory testing and antiseizure medications were started again. Another MRI indicated substantial regression of the splenium of the corpus callosum (SCC) lesion. Both the complete clinical image and results of the diagnostic evaluation spoke in favor of cytotoxicity of the corpus callosum associated with anti-epileptic drug treatment. Pathologies involving the corpus callosum include congenital, demyelination, infection, neoplasm, trauma and vascular changes. Isolated, non-specific lesions of the splenium of corpus callosum usually indicate multiple sclerosis; however, other pathologies should be considered. Anti-epileptic drugs may evoke cytotoxic lesions of the corpus callosum (CLOCCs)."
9,35310094,Diffusion Tensor Imaging Revealed Microstructural Changes in Normal-Appearing White Matter Regions in Relapsing-Remitting Multiple Sclerosis.,"Axons and myelin sheaths are the physical foundation for white matter (WM) to perform normal functions. Our previous study found the metabolite abnormalities in frontal, parietal, and occipital normal-appearing white matter (NAWM) regions in relapsing-remitting multiple sclerosis (RRMS) patients by applying a 2D H magnetic resonance spectroscopic imaging method. Since the metabolite changes may associate with the microstructure changes, we used the diffusion tensor imaging (DTI) method to assess the integrity of NAWM in this study.Diffusion tensor imaging scan was performed on 17 clinically definite RRMS patients and 21 age-matched healthy controls on a 3.0-T scanner. DTI metrics including fractional anisotropy (FA), mean diffusivity (MD), axial diffusivity (AD), and radial diffusivity (RD) were extracted from 19 predefined regions of interest (ROIs), which were generated by removing a mask of manually drawn probabilistic lesion map from the Johns Hopkins University white-matter atlas. The mean values of FA, MD, AD, and RD were compared between different groups in the same ROIs.A probabilistic lesion map was successfully generated, and the lesion regions were eliminated from the WM atlas. We found that the RRMS patients had significantly lower FA in the entire corpus callosum (CC), bilateral of anterior corona radiata, and right posterior thalamic radiation (PTR). At the same time, RRMS patients showed significantly higher MD in the bilateral anterior corona radiata and superior corona radiata. Moreover, all AD values increased, and the bilateral external capsule, PTR, and left tapetum NAWM show statistical significance. What is more, all NAWM tracts showed increasing RD values in RRMS patients, and the bilateral superior corona radiata, the anterior corona radiata, right PTR, and the genu CC reach statistical significance.Our study revealed widespread microstructure changes in NAWM in RRMS patients through a ready-made WM atlas and probabilistic lesion map. These findings support the hypothesis of demyelination, accumulation of inflammatory cells, and axonal injury in NAWM for RRMS. The DTI-based metrics could be considered as potential non-invasive biomarkers of disease severity."
